[2024-09-23 10:01:04] Experiment directory created at /scratch2/ml/guojun/mvgeneration/results/09/23/languagetable_original
[2024-09-23 10:01:14] Model Parameters: 679,669,648
[2024-09-23 12:39:46] (step=0333700/epoch=0001) Train Loss: 0.0053, Gradient Norm: 0.0176, Train Steps/Sec: 1.42
[2024-09-23 12:40:53] (step=0333800/epoch=0001) Train Loss: 0.0064, Gradient Norm: 0.0255, Train Steps/Sec: 1.50
[2024-09-23 12:42:00] (step=0333900/epoch=0001) Train Loss: 0.0057, Gradient Norm: 0.0067, Train Steps/Sec: 1.50
[2024-09-23 12:43:07] (step=0334000/epoch=0001) Train Loss: 0.0058, Gradient Norm: 0.0073, Train Steps/Sec: 1.50
[2024-09-23 12:44:14] (step=0334100/epoch=0001) Train Loss: 0.0058, Gradient Norm: 0.0062, Train Steps/Sec: 1.50
[2024-09-23 12:45:21] (step=0334200/epoch=0001) Train Loss: 0.0049, Gradient Norm: 0.0099, Train Steps/Sec: 1.50
[2024-09-23 12:46:27] (step=0334300/epoch=0001) Train Loss: 0.0048, Gradient Norm: 0.0076, Train Steps/Sec: 1.50
[2024-09-23 12:47:34] (step=0334400/epoch=0001) Train Loss: 0.0058, Gradient Norm: 0.0077, Train Steps/Sec: 1.50
[2024-09-23 12:48:41] (step=0334500/epoch=0001) Train Loss: 0.0054, Gradient Norm: 0.0106, Train Steps/Sec: 1.50
[2024-09-23 12:49:48] (step=0334600/epoch=0001) Train Loss: 0.0062, Gradient Norm: 0.0081, Train Steps/Sec: 1.50
[2024-09-23 12:50:58] (step=0334700/epoch=0001) Train Loss: 0.0043, Gradient Norm: 0.0098, Train Steps/Sec: 1.44
[2024-09-23 12:52:05] (step=0334800/epoch=0001) Train Loss: 0.0057, Gradient Norm: 0.0098, Train Steps/Sec: 1.50
[2024-09-23 12:53:11] (step=0334900/epoch=0001) Train Loss: 0.0056, Gradient Norm: 0.0115, Train Steps/Sec: 1.50
[2024-09-23 12:54:20] (step=0335000/epoch=0001) Train Loss: 0.0055, Gradient Norm: 0.0088, Train Steps/Sec: 1.50
[2024-09-23 12:55:27] (step=0335100/epoch=0001) Train Loss: 0.0062, Gradient Norm: 0.0141, Train Steps/Sec: 1.50
[2024-09-23 12:56:50] (step=0335200/epoch=0001) Train Loss: 0.0050, Gradient Norm: 0.0084, Train Steps/Sec: 1.50
[2024-09-23 12:57:57] (step=0335300/epoch=0001) Train Loss: 0.0055, Gradient Norm: 0.0096, Train Steps/Sec: 1.50
[2024-09-23 12:59:09] (step=0335400/epoch=0001) Train Loss: 0.0050, Gradient Norm: 0.0068, Train Steps/Sec: 1.50
[2024-09-23 13:00:16] (step=0335500/epoch=0001) Train Loss: 0.0058, Gradient Norm: 0.0095, Train Steps/Sec: 1.50
[2024-09-23 13:01:23] (step=0335600/epoch=0001) Train Loss: 0.0056, Gradient Norm: 0.0103, Train Steps/Sec: 1.50
[2024-09-23 13:02:39] (step=0335700/epoch=0001) Train Loss: 0.0058, Gradient Norm: 0.0101, Train Steps/Sec: 1.50
[2024-09-23 13:03:46] (step=0335800/epoch=0001) Train Loss: 0.0053, Gradient Norm: 0.0128, Train Steps/Sec: 1.50
